自定义SKU,ASIN（子Asin）,物品状况,价格,库存数量,发货方式,跟卖方式,跟卖时间,下架时间,备货周期(天)
 z1hr7bhmf7,B004ZQOZZ6,New,36.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 fx8bkzsf1j,B07H4G6YDK,New,13.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 00a4xt56fi,B0797QDBY2,New,47.96,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 76918j9y1i,B0183G4YP4,New,146.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 h5c7w9h3de,B072J2FDYQ,New,21.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 8fdzwntc2x,B07L4DF3K6,New,43.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 efc3w06rj2,B000PWLTNA,New,36.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 f5hhjt6d4s,B07L34QPGC,New,23.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 37fisthhkn,B08JLQJG5P,New,56.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 maia7h8d03,B07FM2HB8R,New,13.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ska7500kd9,B071HFBPZK,New,66.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ded5mff7e4,B01LLSNG1E,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 if91d7c3jt,B07CMD59ZF,New,15.92,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 aerh6tj6xw,B07YWR89FB,New,51.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 si6h3edc0s,B07L5QGF38,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 wywih1sn0n,B013CF4C94,New,14.69,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 50nw9z0d37,B07CCW1F16,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ybbd1ebf5t,B076QJBXKD,New,11.23,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ncjdmmc0iw,B079BYXYSR,New,143.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 t4716iy6f2,B07QC4117N,New,196.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 cm9saps6px,B08ZK8CDBH,New,29.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 mk24eac4k4,B08YDR76MS,New,24.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
